ageBracket,degree,q1,median,q3,iqr,min,max
50+,Graduate Degree,27786.5,59150,109472.5,81686,-9899,232001.5
50+,No Degree,13944,27179,51000,37056,-9999,106584
50+,Bachelors Degree,26168,57548,108002,81834,-9594,230753
35–40,Bachelors Degree,42098,75209,120020,77922,-9978,236903
35–40,No Degree,15000,38000,61120,46120,-9997,130300
35–40,Graduate Degree,46004.75,80000,136528,90523.25,-9999,272312.875
25–30,No Degree,2008.5,5750,9430.5,7422,-500,86402
25–30,Graduate Degree,25009.25,50250,83078.75,58069.5,-200,170183
25–30,Bachelors Degree,30001.5,58000,90610,60608.5,-999,181522.75
40–50,No Degree,17000,40000,65014,48014,-9999,137035
40–50,Graduate Degree,46001,81450,137375,91374,-9999,274436
40–50,Bachelors Degree,40831,75326,126005.5,85174.5,-9999,253767.25
Under 25,No Degree,5082,24000,40000,34918,0,92377
Under 25,Bachelors Degree,17000,40000,64191.75,47191.75,0,134979.375
Under 25,Graduate Degree,13950,32003.5,52002.75,38052.75,0,109081.875
30–35,No Degree,12800,35360,58250,45450,-9999,126425
30–35,Bachelors Degree,38091,69800,110200,72109,-9988,218363.5
30–35,Graduate Degree,38241,67010.5,106858,68617,-8998,209783.5