COSTT4_A,MD_EARN_WNE_P10
23751,40628
27826,54501
27098,61767
22028,34502
32024,59221
19815,33506
21873,44391
34402,65337
38385,59481
12032,36438
30704,34421
14798,42572
15171,34894
36910,43457
10687,32937
9863,31399
18748,39842
9505,31598
27195,36909
39686,49601
11908,28281
23422,45235
14384,40719
12687,38192
15028,31701
22402,44232
10223,32307
18458,59644
22900,32627
38731,43611
26233,42957
10894,33828
22086,45415
10620,34913
38592,42488
9066,28982
11530,29916
53934,58469
16607,35014
12583,35735
22070,49379
37172,51500
23485,35421
23441,32229
12148,32183
21816,42062
41924,49641
15238,34107
21848,51871
21182,48866
16796,48475
34964,54271
31188,35504
28047,62668
15857,36857
28543,59979
9024,40513
13638,38033
16280,38018
60158,84131
18056,43108
31493,42186
18316,46147
18975,44034
10952,35522
13872,29188
29495,54384
14174,34199
18033,40870
8916,39810
47228,42359
13740,41015
19682,47905
17872,39825
50950,51612
12642,39890
21013,45265
22626,28418
44943,44232
26161,58191
20907,35550
14799,36603
22823,42617
21536,41766
20741,36902
37054,62244
14624,34818
24265,45938
27468,46789
11738,33775
25817,39533
13028,28471
17994,32444
16591,33706
36385,52876
25946,43459
52396,60376
43260,53907
12556,31857
12037,33169
16367,34653
16032,41513
45132,51673
12748,37374
11461,29314
35391,44384
17345,34924
26729,38427
11778,29552
15876,33603
21096,34722
13787,34162
12933,30037
32222,38484
12138,34521
24721,42386
16488,36376
18052,41102
47195,39008
17578,42563
11544,42786
55265,27019
12986,40162
15158,36526
71652,71958
54735,66677
13726,37291
20871,35104
58430,56778
26688,40283
13636,41810
23625,44114
52408,61504
78664,49414
83598,128566
63768,68712
29918,90768
18815,59009
18542,63188
16910,59977
22672,71902
25590,64172
15449,57162
18650,61244
16767,62951
22803,71401
20310,64403
17153,59211
20317,59115
22714,64876
42708,92446
38067,80838
36121,80735
36643,82511
34975,67699
36325,84943
36776,74915
38649,68396
78425,41198
27138,94784
9514,50087
10243,49022
8409,41156
15161,34963
12953,48143
13553,42975
81327,70070
33973,83438
56500,65083
40057,49766
12412,42065
17007,45805
82127,104736
17984,44483
36361,51017
19688,39035
33732,42014
17782,34181
14511,40850
12005,42446
18384,42553
20561,46047
15940,32435
15752,43533
13167,56596
20053,39020
42093,46920
14804,51378
68620,84713
18645,42006
13376,41589
22557,53077
53393,49840
16502,38142
15772,57072
12063,37361
42673,58896
16206,43366
10484,47169
15802,41540
12206,43145
11543,40309
12050,44316
84896,138687
24412,47626
20286,39248
12466,34487
11750,49156
11413,38493
33193,43299
61564,65464
56183,47867
17731,36657
22777,37282
17063,35994
49365,61824
12664,38870
50742,70649
19463,41133
19844,44521
14768,32172
18516,35233
18625,42678
48682,57106
16176,36190
19525,39834
13850,42454
75867,78349
23789,42654
16746,40243
69879,76419
12722,37815
22559,44392
15713,43845
15047,50936
14769,42368
21993,42176
9685,49044
12077,46283
64637,72379
15091,38319
41795,32778
21563,49517
37116,67548
57642,68891
80636,75951
22906,54278
13191,47348
71880,58152
9317,41393
51153,49697
47244,70484
68173,78445
21205,36389
13997,42300
12166,43937
85202,82939
82832,69512
56664,63998
81196,77779
12522,36328
11848,43552
70233,72690
12251,36243
19308,44950
12427,41091
13062,42214
11792,50874
13255,38503
12964,45120
11428,48224
27357,64909
74879,86522
25258,68077
76421,89812
17137,43212
52172,56257
24038,46215
25695,78988
11875,54172
18682,47647
77768,109183
11353,42193
13649,47224
83330,77539
8553,39092
11881,39269
12628,45294
52366,54340
14448,39098
10461,55702
14655,39676
73655,78812
11440,44170
24739,65986
25025,44897
50178,59541
19717,40060
67014,71909
84678,92498
13012,38861
40000,55619
9762,43430
11786,36119
17110,41217
17249,37633
15839,38537
13351,51688
68826,64778
63925,59492
58180,65668
27600,48361
12200,39552
23800,44372
14478,41887
16348,48341
29807,39506
23369,64270
23713,54659
33357,59093
33466,69738
50206,50416
83228,65222
13717,44127
21006,43526
38556,97335
29696,60543
21694,37180
16210,44592
18377,39095
75020,71155
25558,46349
18087,45910
19366,38719
22883,45823
22825,52093
15797,39429
52900,28720
20246,39893
26989,52231
20413,39018
18345,40796
19251,37434
18048,46288
54889,72105
33950,42958
23891,55563
11474,39210
21373,36475
25426,46833
56268,60144
52786,50323
24112,58562
22558,64209
82219,75001
26012,42914
36572,73997
39745,43596
30805,56469
73371,88794
15360,41344
62273,60823
54089,39115
63970,60126
25552,41588
27202,38696
69666,83759
66669,75059
56786,59908
28592,55043
83090,90779
85172,73897
24534,59115
85120,100533
13177,41448
27536,49307
29347,72950
24633,59892
19326,53844
71549,77370
73198,73250
20911,44236
39416,43101
80727,90873
84696,103494
51450,63066
35061,53804
20596,42836
48300,55966
29782,38518
60817,49006
11174,37195
24948,41939
48144,41544
17950,38203
29179,40596
22819,58308
15126,36349
8804,37378
11662,37096
28722,34421
66936,51819
14644,43421
26973,34782
59972,84131
24047,44349
21054,56746
8994,42244
41734,49483
32188,43445
38194,72282
60387,43137
20556,60249
19965,42508
31940,36624
57174,55294
23683,61675
21719,71588
39814,38219
12208,38359
16912,42267
10168,40782
17545,39863
11764,38315
61414,68010
45701,39696
11879,37894
12292,39876
11544,47003
28277,40318
22540,46989
12535,40654
77708,75328
8897,33929
20229,56343
55647,59209
12217,39664
55576,49232
16741,41923
11152,39903
9718,36739
12709,40624
27493,33484
75726,43325
72790,58295
41727,48364
10634,42557
14353,41631
9152,41733
12215,41728
9865,39990
22301,57743
49762,54272
69807,51642
43803,46744
13188,37561
49841,59436
25662,37275
25585,32465
16577,40594
41556,46086
48464,45606
24746,39080
18504,49137
13103,34996
60585,56274
20095,27065
20314,27065
13811,30541
20574,40674
35996,38475
9678,30350
34418,38740
11528,33252
40924,42712
16410,33523
55714,53800
9992,35236
45931,54003
35557,42009
18975,39318
10012,35479
17940,49179
12783,34238
19953,44544
11575,35759
53368,50412
11292,40251
31163,34421
15472,37174
35188,38208
78814,80137
12829,43184
20342,36666
27797,102772
19234,48757
27781,58140
24563,53236
26535,47384
27436,68726
14944,37871
13806,36104
25265,42636
31673,31422
19078,45025
47370,51745
13193,37623
41192,47397
12295,37138
27195,36909
56494,58354
47347,52889
12572,32932
59320,55232
27310,33338
45359,49130
29647,106192
45689,46541
14545,33018
59670,45954
17185,37981
34985,44604
13115,30364
49349,59993
26189,49716
35666,36630
37692,46700
10925,30864
20202,49361
40591,44317
23504,49587
45389,47195
43637,52343
20914,47856
23832,57624
49980,59593
12369,45105
11562,44599
13608,36868
13842,39899
16225,34453
18190,52075
14492,38439
22045,33140
25387,51658
13392,42057
21084,45608
22669,54670
48451,48473
18646,46001
16699,40081
50275,51719
13357,53406
12115,40916
45145,34324
74138,40151
60798,62971
39232,58709
12596,36884
11809,37253
36962,46802
52730,66852
10795,35274
30454,42778
86856,91885
11382,28467
10279,32427
12633,31114
10722,36484
9543,37962
9996,36531
9395,41625
49799,42195
44252,54089
10398,34867
59467,68751
13314,46909
30062,29963
26164,51989
9837,45516
51829,61462
38518,51641
21635,41539
23076,58169
27408,63586
43713,46827
21742,33291
12397,37928
26998,68740
46548,63446
32134,81054
68399,70871
17251,37366
47337,52575
17518,37533
67720,82592
32458,62117
11563,40810
12682,34096
13346,38631
9757,42889
43951,56313
12209,38767
12038,38801
14504,39657
65796,54820
10969,43424
68191,61825
10023,38877
9167,37724
45843,66099
28671,43038
11600,38479
64167,71530
25660,34706
12971,45143
47121,58572
26280,69800
41297,51262
55529,51110
34510,45399
11921,43892
30350,63571
12170,42406
25350,45799
54803,60123
42040,59572
27214,57808
87804,89363
27208,52234
11344,47852
50557,53213
14011,38320
13813,36696
45102,50369
14638,35775
11407,38793
14351,39158
47033,54794
48426,48712
44414,60327
45375,63926
42237,58656
23643,57103
14253,40458
13113,32999
23056,35723
12139,33763
11871,38386
29268,53390
25302,56346
23713,25559
10713,33680
47066,55700
47751,46989
11608,41728
38850,47863
14661,44788
27828,54163
56447,63756
12833,48071
49098,48899
25134,51833
42276,48860
64503,77235
31758,46945
43083,43927
72560,70527
64237,50797
56068,53770
50708,55376
47206,51943
40539,45411
55798,53957
48808,50416
40088,46672
13891,37186
19714,45872
22216,55198
48674,53610
43490,47327
20749,47605
23475,48387
13351,49917
15984,44947
27361,63742
13371,43361
15313,47596
16756,47156
22651,38146
48321,51504
52691,58759
42951,59986
25074,22544
30379,44505
80211,99980
39307,43283
74226,101253
45228,55362
47143,43845
65706,59354
34606,65230
51879,52198
50004,57165
57393,63191
19446,41110
62750,69952
49693,54475
52490,49156
35177,54317
52899,55396
64682,57125
64336,53460
15664,41018
49722,52559
62407,71901
51060,51190
17157,40562
30198,42631
14499,39060
30354,40650
46850,47361
46188,52824
79228,62830
26127,37008
15065,42849
14774,40507
15405,42046
17834,43108
23309,63386
18102,42793
26883,64762
14797,41016
48380,58289
62845,59850
28730,27981
13993,41010
30844,62234
50429,55494
52436,60787
30866,35404
15161,43462
21627,55177
48447,49802
16720,41306
17914,50776
50018,59531
27391,61033
58937,59274
16582,36882
16399,40129
48422,52766
38035,51165
61832,56201
14300,40473
40749,48936
13072,40059
48117,63855
17048,40428
50820,53175
52396,49694
47672,49898
20278,41206
32495,44468
16432,39883
11727,35246
12705,41889
12773,37723
10039,45427
22227,35715
20527,47601
21137,47007
19114,48928
40190,36355
44401,52113
10838,37213
14588,41704
10134,37043
44939,47495
15854,41291
12881,43470
12041,34941
18946,45387
18095,40795
25215,61945
44081,55041
25441,57262
45683,51152
17795,49774
13629,37818
18055,51864
34318,48860
48404,52084
53495,62972
16555,45966
22287,46928
51340,55552
22426,50579
15333,51892
45313,59483
12938,42175
12662,41445
53677,55646
44836,45846
48360,54058
20949,49774
16928,38679
21064,51532
30294,40573
46209,42368
13571,34504
60247,62069
56068,43150
13738,34242
41865,45500
40924,41583
13281,36343
63354,66240
20151,41623
24654,45036
22265,45795
13502,36143
56297,52074
12187,29868
13433,35714
12810,36323
13488,38171
21504,28188
16490,21256
21023,36382
43981,46747
32291,59025
38893,42375
39568,41129
30843,53899
13413,35733
13015,32194
41400,44246
22758,43197
21475,44737
13849,36147
19471,50220
13457,34891
33271,48231
13046,32954
12464,30787
12431,29482
43474,49438
31100,38008
46342,59384
58863,54705
44375,42002
23520,43889
11966,29558
15872,34502
57929,50330
19137,33305
36057,39196
17309,35343
25100,41109
24236,68342
15540,42205
34328,61251
16541,36498
19233,47477
30564,51700
24405,52279
61837,52927
21168,46453
22605,47872
21519,45454
23552,46769
17202,32503
24496,47021
28380,49316
27314,59419
43395,38366
16674,32189
35344,31349
16402,32303
22647,46482
26076,43371
20893,34042
18188,33099
24631,47089
15772,29734
83761,63268
39183,52184
56334,40264
80440,69498
80390,82735
20438,79840
15160,42448
81550,80490
17184,41704
13978,36035
31362,65849
18813,40342
24103,44433
18532,51077
26418,48653
30166,89964
18663,40956
60706,55921
15581,43348
57027,40778
58452,59045
16400,41661
21381,49958
43757,44991
20915,37852
13240,34407
16082,38476
20548,46219
15745,36025
27477,61335
24302,54537
40900,85035
15109,43952
13570,44435
10090,36301
34570,64249
20152,46490
8886,46449
26500,55493
11688,35823
68893,53023
11798,41615
14290,44608
59174,57089
15645,49020
81300,87555
71606,82652
19790,65287
27935,69960
28073,82860
71366,45212
27799,47697
14410,50159
24778,50698
62078,64072
25650,66330
60362,65344
16107,47548
26134,61515
31319,60110
52683,51584
26621,64390
57322,62079
70191,65518
62974,60663
12199,36748
55463,53124
83650,77644
61106,46651
61777,74895
77248,123938
26691,34159
47064,55383
77082,120959
69874,33647
17544,38832
47152,62123
83683,103937
82694,83238
82123,77231
25164,57466
11846,38663
14699,47618
14356,43670
64426,62381
61556,54400
62802,38109
41948,54727
77153,62832
63864,68245
57533,58336
52723,49669
24517,53874
26539,52349
27631,57556
41160,52119
13752,37132
71224,46938
82842,101817
41282,51724
76510,90543
13587,37277
63387,49705
49226,51173
67675,46543
29521,64874
33389,71631
29698,65865
13346,52654
58975,125557
32256,43582
79850,143372
37721,82392
13887,46111
68089,75584
10759,50651
56284,33022
77545,58418
14330,41118
77870,34483
55871,58063
27705,48102
13204,45391
81353,92538
11921,42862
53145,51540
19527,52506
13295,45949
64315,52873
15897,38773
27615,56662
63512,63494
82465,46543
82134,64027
57942,48036
14223,36966
31677,68804
68412,77745
62822,67506
84600,83214
83050,84803
55030,82721
58933,73157
26435,57346
76819,67725
81164,88665
75678,103470
21586,60624
54950,55504
68794,58799
61380,54742
11320,36442
43670,53187
49018,49584
23456,35833
15674,35090
53286,58375
21863,38244
26470,55874
12495,32538
39110,54186
50378,56075
61238,44860
35864,45099
11953,37781
26607,62575
40069,71030
30059,29392
28168,51793
26066,54735
14645,37540
58610,94823
13398,40950
24637,41663
40737,47314
16255,38377
26578,56118
29664,31053
9983,34795
52206,58427
15892,36898
71173,65590
9517,38618
11939,38329
15802,35831
17782,34466
25757,49045
10180,39206
54266,69151
10719,41596
38809,59058
36215,48707
33345,83648
30528,67253
32550,78198
22435,59649
23329,53230
14816,37319
9894,41646
10978,35499
11303,36549
13378,36594
26206,47107
11821,38167
47114,63075
11487,37395
25016,58612
45849,47907
37282,41066
39466,49295
24043,51955
11921,42722
42802,57529
12153,40177
14999,37303
43178,51732
16152,29376
11161,39449
12642,29079
26794,53493
9674,36115
28655,53562
34240,48300
18962,49393
16662,47746
16110,48342
57966,58829
14611,45247
18271,42930
23066,53755
39624,46110
56310,63764
18003,42162
81350,75525
43074,59317
34495,59871
15792,51938
29288,47491
20049,46449
15570,45591
17205,45285
65976,65607
56738,61106
15830,49460
16231,45570
15612,49898
78900,63878
15400,45068
22565,56922
26057,64705
29013,69020
25290,58056
54606,40873
18826,40086
23747,36909
26907,62616
25816,50919
24419,50527
14293,51142
17594,50207
42215,45064
17893,44425
48246,50755
36501,48666
31810,35983
15534,41232
17814,45287
66878,63260
15374,46874
21389,55813
66863,76786
54870,58170
69200,65543
44961,48057
53069,65934
64684,73739
58432,59282
24056,39080
17977,38399
22399,51342
34834,61511
16195,43827
20158,43613
23373,58532
15084,46424
23937,36421
38359,46440
32140,40421
9071,24289
11844,31241
22008,41991
12692,32421
10806,33772
9817,30774
12733,32922
11557,32912
28611,39060
14975,33377
13402,31002
61025,53848
9270,28421
27692,50994
21808,46128
21606,31919
39167,47485
12908,33017
26922,51513
14779,34081
13156,36396
11607,33019
18448,32275
10775,26946
10933,33227
25482,44140
22570,34724
30846,43087
32863,52773
29288,38641
20044,45421
22288,34675
43890,48991
22086,49560
39040,52304
37136,45378
41161,50430
36726,35422
11561,35987
43028,46092
47091,40694
18191,36916
38931,46573
42982,48825
27525,48199
12540,36455
39296,42643
19616,31088
12965,40782
57779,37032
21265,39463
33442,53278
17385,55901
24276,55838
14162,40796
45093,62105
31765,50535
17328,35352
47370,46660
19194,42620
37001,43221
20282,42647
28948,63403
24645,59637
25653,82957
27442,53037
13379,37537
23420,56280
22906,47885
25475,41297
32262,41592
23714,56309
27565,29058
28229,55955
57712,67102
69125,70783
53608,137047
12053,35325
38035,43112
15761,36922
13483,35562
42694,43071
23337,44030
24022,49827
17482,32442
17119,40837
83476,86182
49218,50876
49646,52199
34291,59268
44907,42401
12168,22953
16138,54329
54141,61772
15311,41951
12809,20073
18473,44296
14949,38520
16133,30528
11078,14747
14341,38034
43054,48296
17493,40738
11402,21152
15399,42862
21620,54329
23779,53263
23744,44511
17363,49505
44180,49036
14562,32725
19414,43229
33315,61289
23962,64876
28837,70845
13504,39429
20672,47002
51179,52415
61046,73911
55510,53316
49051,51303
24452,50105
30659,65071
9684,38773
12030,40059
52386,52163
20446,53909
29812,31458
53350,56405
25341,56887
13845,42634
20743,47071
33989,54338
12319,43405
40586,55045
19088,56887
21310,47075
12550,38729
33136,44130
13270,38087
33134,31398
19440,55037
24702,60614
12010,39289
15874,44573
19595,41987
65807,46474
83802,97434
61955,53353
36856,35809
60896,42092
37524,50318
34567,66479
29524,54368
22605,66479
29257,57304
23210,48943
20388,35037
24442,44700
22877,51182
17069,49063
18752,46164
22016,42397
50999,52248
65067,73371
19236,66479
38889,53565
38705,39762
15261,34241
15317,46624
38702,40251
44298,45902
15369,44379
11965,44745
53586,53843
11538,41212
51351,53726
14629,50243
12920,41751
61378,63646
11821,37230
47791,57273
50346,57602
52840,57273
49198,53096
34116,59988
14302,41751
33887,51725
24635,87408
13014,34333
23668,52745
24924,57237
12337,43264
13721,46861
60113,67991
25926,61415
39193,73894
22900,42827
32228,84276
16424,45210
14717,36972
80440,110066
25000,34990
30176,67541
53982,62208
33812,74479
35232,74479
33749,74479
50052,57815
16706,38020
64996,70196
52328,53038
13039,48145
76449,108772
32159,57602
21300,40344
26064,73971
37070,73323
13752,41595
26555,57780
10906,36869
11945,26364
12541,39067
10066,34020
18503,38550
12220,38550
23873,24505
21046,45937
9150,34233
18891,57410
11378,44792
22872,76489
15550,44792
20973,44792
13482,39067
15593,39067
20930,39067
14710,44792
17529,38112
13178,36513
15783,38005
30369,45389
14221,27660
16135,44792
15589,32272
21649,39095
47174,64973
57444,75482
16664,41267
22650,32568
52317,131426
54516,54897
38671,22782
61369,27019
27025,54695
63779,26975
27111,17686
81661,46543
84023,80516
39029,45884
23338,35348
15541,39710
21955,32568
23942,32568
23142,32568
42271,60681
38134,104403
13920,38709
27589,35023
42500,39899
76451,89696
15614,39246
83650,85139
32786,46236
86042,102491
12441,44441
67088,83847
83196,104043
13917,38817
26409,83972
54106,47475
13521,75971
12187,42306
11987,41307
13573,60752
14084,53501
13514,66039
12390,40485
13310,63163
13712,56195
12998,42621
13167,41653
13456,58013
14069,46498
13404,49365
13643,62763
11882,44214
13686,56945
42512,66942
44232,61808
48001,61171
15709,43929
24233,79677
50783,57550
12475,41228
29732,62696
19411,40054
40792,35887
77351,85569
14219,39535
15432,39674
80380,78411
66623,61107
41733,111027
17648,39199
40002,48309
80635,68831
68298,69039
29287,46721
13654,45460
57336,73595
30201,62379
66162,63548
17300,38242
19567,34976
17874,39991
80579,92751
81090,37827
16625,36442
53506,58289
50471,58956
51033,62731
52419,59950
19228,23438
20375,41527
38957,39108
62537,86316
74277,26878
55641,58832
23518,55458
14085,70771
63898,77819
63837,49131
32391,52055
28648,38830
21343,41192
15981,39850
48251,77789
26306,41236
14196,40174
51810,67705
50617,65756
13907,48248
56140,56458
39556,29382
82757,52901
79121,82509
13545,42285
50174,56196
17964,38276
53625,70080
46980,48041
